x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
39,4,77516,2,13,1,3,1,0,0,2174,0,40,0,0
50,1,83311,2,13,0,2,0,0,0,0,0,13,0,0
38,0,215646,0,9,2,9,1,0,0,0,0,40,0,0
53,0,234721,5,7,0,9,0,1,0,0,0,40,0,0
28,0,338409,2,13,0,0,4,1,1,0,0,40,9,0
37,0,284582,3,14,0,2,4,0,1,0,0,40,0,0
49,0,160187,10,5,5,5,1,1,1,0,0,16,11,0
52,1,209642,0,9,0,2,0,0,0,0,0,45,0,1
31,0,45781,3,14,1,0,1,0,1,14084,0,50,0,1
42,0,159449,2,13,0,2,0,0,0,5178,0,40,0,1
37,0,280464,1,10,0,2,0,1,0,0,0,80,0,1
30,4,141297,2,13,0,0,0,2,0,0,0,40,8,1
23,0,122272,2,13,1,3,2,0,1,0,0,30,0,0
32,0,205019,6,12,1,4,1,1,0,0,0,50,0,0
40,0,121772,4,11,0,1,0,2,0,0,0,40,2,1
34,0,245487,8,4,0,8,0,3,0,0,0,45,1,0
25,1,176756,0,9,1,10,2,0,0,0,0,35,0,0
32,0,186824,0,9,1,6,3,0,0,0,0,40,0,0
38,0,28887,5,7,0,4,0,0,0,0,0,50,0,0
43,1,292175,3,14,2,2,3,0,1,0,0,45,0,1
40,0,193524,12,16,0,0,0,0,0,0,0,60,0,1
54,0,302146,0,9,3,5,3,1,1,0,0,20,0,0
35,6,76845,10,5,0,10,0,1,0,0,0,40,0,0
43,0,117037,5,7,0,8,0,0,0,0,2042,40,0,0
59,0,109015,0,9,2,11,3,0,1,0,0,40,0,0
56,2,216851,2,13,0,11,0,0,0,0,0,40,0,1
19,0,168294,0,9,1,1,2,0,0,0,0,40,0,0
54,3,180211,1,10,0,7,0,2,0,0,0,60,12,1
39,0,367260,0,9,2,2,1,0,0,0,0,80,0,0
49,0,193366,0,9,0,1,0,0,0,0,0,40,0,0
23,2,190709,6,12,1,12,1,0,0,0,0,52,0,0
20,0,266015,1,10,1,4,2,1,0,0,0,44,0,0
45,0,386940,2,13,2,2,2,0,0,0,1408,40,0,0
30,6,59951,1,10,0,3,2,0,0,0,0,40,0,0
22,4,311512,1,10,0,5,0,1,0,0,0,15,0,0
48,0,242406,5,7,1,6,3,0,0,0,0,40,6,0
21,0,197200,1,10,1,6,2,0,0,0,0,40,0,0
19,0,544091,0,9,6,3,4,0,1,0,0,25,0,0
31,0,84154,1,10,0,4,0,0,0,0,0,38,2,1
48,1,265477,6,12,0,0,0,0,0,0,0,40,0,0
31,0,507875,10,5,0,6,0,0,0,0,0,43,0,0
53,1,88506,2,13,0,0,0,0,0,0,0,40,0,0
