sum0,sum1
-560803,-399915
-667650,512571
106987,674763
-533707,360579
-391003,-660727
-420760,-846607
45182,192097
125837,-105120
93651,-240637
-506701,522239
700317,457488
-734001,169713
-215378,112788
-829339,-769943
-248519,361141
760265,-976530
-61216,-954646
837069,-478557
-755648,700058
-353832,-916057
342957,-20370
308352,-419267
50850,-610706
-862409,820827
-360503,-569497
990755,-594791
525219,-552119
-539443,-267707
-610307,-110714
704752,-721086
102955,139698
730412,-959865
-394855,-378824
-217919,630082
765159,166444
758305,527925
-490863,204345
307842,-785872
-963310,-707302
635614,853416
247209,798989
77875,-542666
-829389,393085
-527881,-82865
-198795,-759472
568644,-299666
-386116,-840555
-98571,-841797
815961,-145721
455306,190809
662892,748866
-160094,-500237
-520179,441485
340146,-476775
51312,-621008
223171,-490193
-587504,-190920
-327310,-650224
-841245,425177
768586,-906067
-816278,538859
744411,-322764
-186891,161840
514648,668977
-280314,-461127
-670621,-718133
923572,274336
-864858,810900
-943964,-780625
567115,965720
583220,493843
940059,909123
-640563,-477792
-355955,-179156
-40798,-996057
552332,-287960
-199489,533093
-214921,207588
116477,960115
818840,696403
535045,-532920
-75239,568935
-836456,73283
691647,-484269
590957,-378900
-714084,-930503
-13604,-137388
-983233,-120083
213831,-621659
514581,-940432
-231588,46792
291741,826379
57782,-747792
566806,414927
-422210,-626070
624584,-198432
379844,-440091
617993,516934
-860838,-689164
-837841,304885
-642570,437877
-662230,276459
-348814,-998867
282373,-191198
506225,-571812
893894,-827169
-318790,-863458
980647,-580162
583369,-89299
266221,691270
766815,-632801
-299734,-351993
533198,236549
493785,297802
590111,-275799
-766753,-917867
876051,248510
556858,843575
916737,578274
857069,-535638
-335430,-307228
-614531,-438269
-703631,-591745
13990,681521
370225,-801935
-822712,-271012
977790,-736452
49898,-497983
280144,710214
-496746,975759
863532,368516
-863066,-92719
-429479,-116635
-301404,-804889
-485726,-99826
-858032,-879195
996627,627317
819832,-839042
-975996,-829582
937211,-471063
999039,-797119
-640143,732947
118731,-745529
-33405,-167423
838465,3542
-985474,221910
-108903,940800
635365,351392
-480064,799082
957956,64813
286403,-644781
-322046,-519484
-10566,760546
359754,-649331
-114313,497809
19185,671396
353688,-444229
467097,631508
114307,861491
-950515,-749581
-427194,425507
604706,90854
423320,-791431
-705675,428641
-286752,321919
-934029,-718008
34605,-486739
-843474,-596505
-361619,640687
-147871,435493
-321081,973412
-333463,-728623
-401987,-406150
-450842,-147384
207765,886221
913667,696593
-616189,-209545
-457287,-896651
-326626,-366337
-949738,776565
-641714,-195204
-177853,-918612
496921,356349
262252,710641
-870022,-886902
566050,577954
104322,458989
-761816,354199
-696225,713178
549794,885667
-254856,563562
907494,891135
382231,-873041
366123,199366
-755954,-477171
-324281,-406886
447287,581850
924095,-629087
-872631,-270916
661307,-399847
945765,-410833
802119,949581
-563592,663660
-909984,4310
-365389,119632
231832,-272379
347126,721058
-174120,-315359
-300209,-718557
-578593,-254395
436686,327018
-619946,-824272
-575306,-650389
762343,374064
-546348,-680546
290934,-931430
-843929,203508
391411,639115
100533,251524
-372876,-959994
-933609,-441431
937382,-849101
175596,52113
-985946,-266156
-779230,807820
-846723,-865027
-137473,-953921
-223448,287753
13513,-465008
-924920,484529
-736876,-166003
6889,908433
-127529,679475
-963915,-617513
-648895,-811626
-282770,-410310
405100,263622
-754694,-600679
738729,677844
-884101,-438262
-516235,884944
525685,979514
290129,-641202
-977720,-413935
164793,690423
819245,-245093
995295,708491
-422668,-855718
-997242,-247826
-187636,280541
-858264,10261
-940432,-501288
-903241,756134
-104362,-486126
974870,-11263
-153421,194788
973935,200099
-844695,-250705
-613116,-300646
-794627,-709631
-48985,-977290
-186735,661686
-141745,111910
262156,-360551
-898524,-827496
473564,880790
884428,442304
-274144,272295
-482803,-293587
627800,349254
545251,532540
-513323,-998155
497146,-668621
-635053,-107716
-715051,-808989
389023,-431142
892417,-243310
-395260,-964676
565184,843176
-898474,-520468
156545,857447
-215585,-739467
401157,-895658
162359,-418855
-187596,-525733
108369,211080
984718,-705479
-570353,-171774
398114,-345856
640146,-950493
218871,188561
-14030,522717
773170,60439
-406089,345717
-472802,-121390
94182,603378
582403,-590641
825245,363408
-45432,434557
-255421,-545674
-397608,-743264
-740455,912187
-721613,940000
-579434,284764
899058,741550
-595358,198236
901660,670931
461172,-34358
910777,896234
688785,341739
608804,-594803
364281,-311042
132082,561893
-835176,644849
-649791,-785597
-146775,-433381
-795063,-298810
881575,809902
-911231,276714
-547054,-442683
330409,413692
207412,-274192
273073,-302848
-500974,-63949
-553578,730370
416547,332513
-190036,320498
649162,-255374
-919369,297857
-614326,-63171
843758,417495
-607889,828390
-834651,469371
-325677,-142363
-233980,-274062
-231339,-916208
-771629,517602
505946,-27199
-925263,-198714
-905199,-589447
859142,267999
-910037,220127
1739,-134183
89409,533281
198447,991111
-576045,-496009
-154457,1225
-859594,898369
291126,-997250
-778526,-423012
888333,861534
915051,956530
-345292,82796
-909181,-161432
761249,421980
-765340,-491728
779660,-284884
184176,587035
-416345,602282
-715056,-140099
-165806,261015
-789598,695828
186122,283001
-393335,969099
-641720,-838149
580256,-860792
-486035,761126
414493,223380
438439,-34493
666926,-233828
395801,-226942
-904920,274607
400795,-987010
976088,125526
48239,520611
608960,-959439
-510758,448587
-624887,-794263
-458293,-816417
476294,-212373
40333,636598
94507,-332061
-426799,847219
207729,-651790
81642,-273719
-739916,-435760
890214,713585
-46548,192797
501294,799128
250214,-6961
-29344,141455
-414923,14320
656142,-629463
-424859,772897
-624132,36478
-680638,944593
600567,-828233
170867,-108378
305778,920713
336585,-472451
495665,-430269
515837,631239
-162535,-533180
-41386,59095
-517302,417405
751348,-662185
699877,141393
-401426,60099
-395691,-809711
379051,-365750
901059,-533836
598247,547782
-862982,-404882
116152,-147820
81872,-292895
460974,-955565
-177974,302163
-894380,-177018
158590,-357925
-231366,-106885
-922071,967022
417163,828756
-847526,-995124
-205698,840210
899204,292080
-289710,-59071
385939,865710
546428,-200867
-744819,37547
-214819,-868241
-970833,-325734
-573658,569696
416148,-105953
715503,-826625
-286959,-85157
-169817,409439
-892887,-171259
525195,-961018
-131366,-405303
387210,-854847
824457,-820875
929153,-259861
-990583,115564
706311,-744448
-801838,-696974
-799196,-319349
302928,703463
136842,-124278
-747269,-659828
-664598,416422
-649392,-415868
466351,778900
159813,-80511
-502115,823324
-168354,957330
79181,-41012
862476,-949733
-674681,177623
-473165,54897
-815536,-189954
732113,-219442
-103343,958050
-354388,36677
335745,-72254
590397,779080
897945,-106509
-124410,934110
-713763,212876
618122,-980176
338889,925783
-913891,45279
463448,-930568
-141163,963708
-305360,666995
-288203,38633
427154,-516415
-51035,-425923
-675830,-322918
-844920,456454
-31659,-189680
866633,-846529
-34123,-202378
-570246,-589436
159903,724146
-877637,554720
782635,-471781
692172,-512887
-868387,667949
-993424,723751
-913932,852481
672870,-186912
421296,188053
291726,344985
473391,-100212
-937441,580013
-997169,468671
623799,-2660
917019,193688
257469,264789
-607160,279365
421065,565459
634465,549342
-956308,-917911
-451182,110915
221229,-876083
-491715,-57714
891506,582046
-340262,-50978
-858914,-698395
-903821,252726
-810886,687859
-169003,-884908
-971783,688637
52711,-450373
455614,-92317
215388,-849445
-970329,-507931
-982087,324914
-447349,68625
70819,395871
106509,-211467
-355637,-552319
666249,-446249
375788,-108434
-632831,239033
37358,838030
393305,-285929
837432,-691420
951033,-800410
-804087,-439199
772325,805468
358506,529328
38722,599780
-62062,757509
624551,69936
334843,-578956
604500,627474
-845821,733324
-20339,-415019
421309,841631
-47146,-415222
-8489,-606646
32793,866126
645670,964927
-732731,191917
-632791,864760
-114305,-340440
348846,866121
-457398,867002
-261558,111509
-906495,-956397
-301236,-42080
-142797,-348055
-874468,910660
-139422,-656230
585144,377045
-326983,767328
-782021,322240
-463137,-654313
651482,808651
-622461,714360
74067,219428
-685525,-983969
983628,840919
459302,-634396
-938614,-723671
847318,-268255
555606,239044
-215556,786630
43786,160408
-829031,110938
386714,779009
510220,-994060
269164,945202
611009,-772025
506360,-658186
371154,744952
-244300,504167
378080,-876264
-841878,511020
157417,857832
322781,274410
968508,-452914
-662520,220109
578887,139510
676845,24782
-103382,568817
-372880,-421796
330484,-873417
-900884,477283
-706670,-705650
-233816,661603
396759,-295461
828681,553764
487049,-894021
719106,-696773
463457,-999050
363475,-90819
-920491,319797
-767214,-513811
-88591,-887732
157041,706712
-651237,381585
625427,914294
41859,950162
445474,704952
-66004,912039
-117358,-125600
-969430,348482
-826607,-684839
73821,-22563
205458,457345
-845528,121938
-916780,823236
-637750,-155718
-679425,116433
872277,-712377
-836788,-739431
-633074,-34624
-893773,-126249
997371,-201574
-286628,670983
-931859,106426
-39615,-344993
954876,-393797
-1253,905076
-621205,796540
693210,-970476
199006,906415
327805,690623
-433800,-374791
187569,858673
-467276,603198
598475,-299250
485777,957034
-197582,-84494
-901704,-679112
-862047,766091
194352,10718
-753728,-916915
842233,924948
258239,521984
-972772,138619
929264,587295
946825,-934776
202115,251929
179186,-169151
832669,477357
951564,861758
-333858,-82829
-495526,-918608
27584,-712256
313773,930606
-169018,97692
913724,-292390
-197225,720609
-801304,344198
-901450,-352309
-363945,890528
621872,-95883
983490,-409145
-321581,534437
-424743,476601
532407,-558534
612362,886216
-440520,107454
-209542,-363177
881238,-125141
-235848,383926
414567,412978
599568,-509664
799435,554638
-232461,-997365
394010,602817
-739473,-851410
-906440,442343
872893,-478258
-272188,-337428
-807649,-427462
544013,494691
-740047,880123
11081,120638
-827676,837014
905031,364902
-36860,500670
-882479,-378075
584257,-24595
-802864,174975
786777,867947
-68669,498621
352209,-651215
444332,168744
-943271,559896
590220,356076
218938,950271
-14579,-200053
-748473,-812730
-503165,-1037
819951,403293
-176797,-190317
-558885,80028
-442348,446248
900928,610482
-380066,99745
-663001,-724296
-994546,480470
-461704,921749
409763,-31695
625199,-394334
700573,-250930
265469,132568
680550,960047
-364197,298362
542855,-279427
508277,206022
46617,-516988
550550,-930361
-200868,-592042
-487055,-210216
191191,-459266
-17587,-140895
-682565,616475
-173683,-473730
-312139,-253384
783195,-555717
-398961,-320910
421845,-571420
-915267,160370
-263960,726990
859724,-843065
-450102,-269085
385857,-399220
-674511,-934870
-264893,-674210
745236,-932800
-539507,-795832
-34538,-413185
-943187,794675
-234944,-993015
-162151,-384630
-412099,626359
-421651,221402
646403,-971792
-860295,-698204
771461,582639
-557851,879275
-476143,151649
666432,639750
-449382,-566708
873181,-126574
406815,202389
-628881,-724491
-359941,-46093
920223,192962
504081,69163
988977,-93646
985303,-41172
-754674,-668303
-572457,663374
435776,104789
475309,-99670
676147,946905
-937335,-711646
-228374,-812396
889979,887993
579225,935863
598890,-587195
-205407,-376122
829196,-872373
-346453,74272
-200690,95626
689872,-250713
601494,-643634
686940,311476
-632385,995437
-115102,-187114
-464811,-594722
1572,404372
-605205,-261014
763629,998050
-599477,-485660
11535,-649842
682397,726806
968459,-656624
331445,-298109
919429,383830
33739,95116
-326416,704349
-247611,541821
936467,-990039
-484683,273732
413971,610806
-764830,750451
-367777,-821230
-836390,187694
-920134,278261
493170,727970
-213790,73410
473169,-776058
-989611,148936
-223032,932840
557976,-827454
393479,136848
-773558,392201
925963,-867094
228917,100693
-600500,-596330
475248,-190815
-884086,-669805
561693,641361
365135,572900
837056,-86212
457677,-416930
634168,-21133
494507,-7036
-494116,-869573
-296957,-426263
167080,-558777
695628,522628
447319,847980
646097,-298444
803191,-539151
-211144,-230644
-933391,505808
547101,291811
689299,-249260
466116,-340599
422905,661475
-365418,-159668
921023,38978
542694,278366
408097,443708
-149487,333978
-82123,866913
356109,455227
75409,-432129
724182,143276
-467163,104878
48248,-643280
-833947,-152543
300039,17758
799014,-64656
660129,-393178
-130692,643323
576240,159038
-37403,36519
888841,368028
-620583,828652
187577,836834
-604925,-367049
-182756,227223
741015,-330691
568340,-293445
914405,-308633
-879080,-915829
890505,-40442
-235248,-589616
350994,-718455
351754,-82208
-709525,-883614
326882,684386
-557313,-907995
565512,869987
-904257,958267
-872702,407837
-179710,915251
-284024,470786
826224,-60799
857700,-854129
441967,-674320
996149,-687250
870883,-246515
-811244,-824893
-18738,813418
-354318,330281
843992,940110
734833,-534479
-41260,575974
557224,-696299
770959,-107765
614831,690904
-361020,683802
765787,562866
-196870,-22039
35954,-465430
-797425,-457062
532000,-401189
-913958,145099
-510228,-364327
-376208,336688
-935006,-429075
553445,432058
211388,-97580
-441143,-520699
-563748,-586564
894502,-199382
459922,157384
-951178,-738601
125008,493520
781490,517829
-754346,-75408
10557,-665950
523659,373196
-292001,-858466
-945309,654121
178674,-783021
-848347,243017
-800538,-711937
696816,797024
644213,763923
635962,667593
-671922,826295
-700343,-881968
198390,-944094
-383485,-95643
405595,-443112
50558,462001
855369,170314
-222281,18517
805989,949558
719626,430319
-950055,-36535
-833097,576525
901913,568204
973686,327510
312505,-295370
515620,-686282
125940,-863963
936515,339419
799932,-643517
-233761,-509895
-758060,105833
-189766,-720681
-204692,-45960
810681,932645
199097,417674
564665,-725942
-988235,-680280
-368692,-482800
542283,-429551
366914,908926
-415437,-900281
273500,-538452
-89603,-188002
802233,-410816
-534752,735673
-240720,835657
967006,173871
602442,580720
-788328,-210616
180614,763050
-938908,452156
-671181,-951370
470491,-132320
242303,715185
-569945,188173
465321,-666176
852541,-111565
317421,-895472
790661,684004
-905761,-31135
-74389,514302
-451989,781425
-632460,506651
420263,33896
698115,-889532
-283372,-812559
-671509,439742
386112,134164
173316,-218029
-897819,-20208
584784,976505
826962,103300
